2019-09-16 14:44:27.692280: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-09-16 14:44:27.982623: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: Tesla K80 major: 3 minor: 7 memoryClockRate(GHz): 0.8235
pciBusID: 0000:0e:00.0
totalMemory: 11.17GiB freeMemory: 10.73GiB
2019-09-16 14:44:28.266135: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 1 with properties: 
name: Tesla K80 major: 3 minor: 7 memoryClockRate(GHz): 0.8235
pciBusID: 0000:83:00.0
totalMemory: 11.17GiB freeMemory: 10.74GiB
2019-09-16 14:44:28.527757: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 2 with properties: 
name: Tesla K80 major: 3 minor: 7 memoryClockRate(GHz): 0.8235
pciBusID: 0000:84:00.0
totalMemory: 11.17GiB freeMemory: 10.73GiB
2019-09-16 14:44:28.528005: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Device peer to peer matrix
2019-09-16 14:44:28.528066: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1051] DMA: 0 1 2 
2019-09-16 14:44:28.528079: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 0:   Y N N 
2019-09-16 14:44:28.528087: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 1:   N Y Y 
2019-09-16 14:44:28.528093: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 2:   N Y Y 
2019-09-16 14:44:28.528118: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: Tesla K80, pci bus id: 0000:0e:00.0, compute capability: 3.7)
2019-09-16 14:44:28.528129: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:1) -> (device: 1, name: Tesla K80, pci bus id: 0000:83:00.0, compute capability: 3.7)
2019-09-16 14:44:28.528138: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:2) -> (device: 2, name: Tesla K80, pci bus id: 0000:84:00.0, compute capability: 3.7)
User_count: 409000 Item_count: 46426 Cate_count: 6
len_cate_list:  46426
test_set_0_5:  [(117682, [35427, 2506, 19335, 18467, 19310, 17458], (18532, 1137)), (9751, [19419, 29828, 10976, 10412, 10380, 40538, 39435, 39437, 37415, 36742, 11506], (45105, 38769)), (326074, [14887, 39036], (39185, 7303)), (94909, [19221], (45874, 24548)), (328570, [28529], (29224, 22711))]
****user_emb_w--shape**** <bound method TensorShape.as_list of TensorShape([Dimension(409000), Dimension(128)])>
****user_emb_w--shape**** (409000, 128)
****ic--shape***** <bound method TensorShape.as_list of TensorShape([Dimension(None)])>
****ic--shape***** (?,)
****i_emb--shape**** <bound method TensorShape.as_list of TensorShape([Dimension(None), Dimension(128)])>
****i_emb--shape**** (?, 128)
****ib--shape***** (?,)
****jc--shape**** (?,)
***j_emb--shape**** (?, 128)
****j_b--shape**** (?,)
****hc--shape**** (?, ?)
****h_emb--shape**** (?, ?, 128)
****hist_i--shape**** (?, 1, 128)
****u_emb_i--shape**** (?, 128)
[None, 128]
[None, 128]
[None, 128]
[None, 128]
[None, 100, 128]
[None, 2]
test_gauc: 0.5079	 test_auc: 0.5061
Epoch 0 Global_step 1000	Train_loss: 0.6939	Eval_GAUC: 0.8048	Eval_AUC: 0.8052
Epoch 0 Global_step 2000	Train_loss: 0.6821	Eval_GAUC: 0.8056	Eval_AUC: 0.8057
Epoch 0 Global_step 3000	Train_loss: 0.6753	Eval_GAUC: 0.8062	Eval_AUC: 0.8057
Epoch 0 Global_step 4000	Train_loss: 0.6702	Eval_GAUC: 0.8083	Eval_AUC: 0.8081
Epoch 0 Global_step 5000	Train_loss: 0.6648	Eval_GAUC: 0.8126	Eval_AUC: 0.8121
Epoch 0 Global_step 6000	Train_loss: 0.6593	Eval_GAUC: 0.8120	Eval_AUC: 0.8120
Epoch 0 Global_step 7000	Train_loss: 0.6553	Eval_GAUC: 0.8125	Eval_AUC: 0.8121
Epoch 0 Global_step 8000	Train_loss: 0.6512	Eval_GAUC: 0.8120	Eval_AUC: 0.8116
Epoch 0 Global_step 9000	Train_loss: 0.6473	Eval_GAUC: 0.8156	Eval_AUC: 0.8148
Epoch 0 Global_step 10000	Train_loss: 0.6438	Eval_GAUC: 0.8143	Eval_AUC: 0.8137
Epoch 0 Global_step 11000	Train_loss: 0.6405	Eval_GAUC: 0.8148	Eval_AUC: 0.8143
Epoch 0 Global_step 12000	Train_loss: 0.6375	Eval_GAUC: 0.8159	Eval_AUC: 0.8155
Epoch 0 Global_step 13000	Train_loss: 0.6339	Eval_GAUC: 0.8154	Eval_AUC: 0.8151
Epoch 0 Global_step 14000	Train_loss: 0.6318	Eval_GAUC: 0.8157	Eval_AUC: 0.8154
Epoch 0 Global_step 15000	Train_loss: 0.6280	Eval_GAUC: 0.8149	Eval_AUC: 0.8147
Epoch 0 DONE	Cost time: 4073.65
Epoch 1 Global_step 16000	Train_loss: 0.0768	Eval_GAUC: 0.8157	Eval_AUC: 0.8155
Epoch 1 Global_step 17000	Train_loss: 0.6219	Eval_GAUC: 0.8146	Eval_AUC: 0.8147
Epoch 1 Global_step 18000	Train_loss: 0.6195	Eval_GAUC: 0.8141	Eval_AUC: 0.8143
Epoch 1 Global_step 19000	Train_loss: 0.6165	Eval_GAUC: 0.8134	Eval_AUC: 0.8133
Epoch 1 Global_step 20000	Train_loss: 0.6144	Eval_GAUC: 0.8137	Eval_AUC: 0.8139
Epoch 1 Global_step 21000	Train_loss: 0.6137	Eval_GAUC: 0.8139	Eval_AUC: 0.8138
Epoch 1 Global_step 22000	Train_loss: 0.6103	Eval_GAUC: 0.8136	Eval_AUC: 0.8137
Epoch 1 Global_step 23000	Train_loss: 0.6076	Eval_GAUC: 0.8142	Eval_AUC: 0.8141
Epoch 1 Global_step 24000	Train_loss: 0.6076	Eval_GAUC: 0.8142	Eval_AUC: 0.8140
Epoch 1 Global_step 25000	Train_loss: 0.6055	Eval_GAUC: 0.8136	Eval_AUC: 0.8136
Epoch 1 Global_step 26000	Train_loss: 0.6035	Eval_GAUC: 0.8141	Eval_AUC: 0.8138
Epoch 1 Global_step 27000	Train_loss: 0.6016	Eval_GAUC: 0.8142	Eval_AUC: 0.8140
Epoch 1 Global_step 28000	Train_loss: 0.5995	Eval_GAUC: 0.8145	Eval_AUC: 0.8140
Epoch 1 Global_step 29000	Train_loss: 0.5985	Eval_GAUC: 0.8144	Eval_AUC: 0.8141
Epoch 1 Global_step 30000	Train_loss: 0.5969	Eval_GAUC: 0.8143	Eval_AUC: 0.8140
Epoch 1 Global_step 31000	Train_loss: 0.5948	Eval_GAUC: 0.8145	Eval_AUC: 0.8141
Epoch 1 DONE	Cost time: 14714.16
Epoch 2 Global_step 32000	Train_loss: 0.1459	Eval_GAUC: 0.8144	Eval_AUC: 0.8142
Epoch 2 Global_step 33000	Train_loss: 0.5902	Eval_GAUC: 0.8142	Eval_AUC: 0.8140
Epoch 2 Global_step 34000	Train_loss: 0.5889	Eval_GAUC: 0.8141	Eval_AUC: 0.8138
Epoch 2 Global_step 35000	Train_loss: 0.5874	Eval_GAUC: 0.8141	Eval_AUC: 0.8137
Epoch 2 Global_step 36000	Train_loss: 0.5875	Eval_GAUC: 0.8142	Eval_AUC: 0.8139
Epoch 2 Global_step 37000	Train_loss: 0.5868	Eval_GAUC: 0.8142	Eval_AUC: 0.8139
Epoch 2 Global_step 38000	Train_loss: 0.5847	Eval_GAUC: 0.8142	Eval_AUC: 0.8138
Epoch 2 Global_step 39000	Train_loss: 0.5833	Eval_GAUC: 0.8145	Eval_AUC: 0.8140
Epoch 2 Global_step 40000	Train_loss: 0.5812	Eval_GAUC: 0.8143	Eval_AUC: 0.8138
Epoch 2 Global_step 41000	Train_loss: 0.5804	Eval_GAUC: 0.8142	Eval_AUC: 0.8138
Epoch 2 Global_step 42000	Train_loss: 0.5807	Eval_GAUC: 0.8145	Eval_AUC: 0.8140
Epoch 2 Global_step 43000	Train_loss: 0.5777	Eval_GAUC: 0.8144	Eval_AUC: 0.8140
Epoch 2 Global_step 44000	Train_loss: 0.5772	Eval_GAUC: 0.8144	Eval_AUC: 0.8139
Epoch 2 Global_step 45000	Train_loss: 0.5764	Eval_GAUC: 0.8146	Eval_AUC: 0.8139
Epoch 2 Global_step 46000	Train_loss: 0.5752	Eval_GAUC: 0.8144	Eval_AUC: 0.8140
Epoch 2 Global_step 47000	Train_loss: 0.5734	Eval_GAUC: 0.8143	Eval_AUC: 0.8140
Epoch 2 DONE	Cost time: 18443.05
Epoch 3 Global_step 48000	Train_loss: 0.2105	Eval_GAUC: 0.8142	Eval_AUC: 0.8139
Epoch 3 Global_step 49000	Train_loss: 0.5691	Eval_GAUC: 0.8141	Eval_AUC: 0.8139
Epoch 3 Global_step 50000	Train_loss: 0.5703	Eval_GAUC: 0.8141	Eval_AUC: 0.8137
Epoch 3 Global_step 51000	Train_loss: 0.5684	Eval_GAUC: 0.8144	Eval_AUC: 0.8139
Epoch 3 Global_step 52000	Train_loss: 0.5699	Eval_GAUC: 0.8143	Eval_AUC: 0.8138
Epoch 3 Global_step 53000	Train_loss: 0.5682	Eval_GAUC: 0.8143	Eval_AUC: 0.8139
Epoch 3 Global_step 54000	Train_loss: 0.5665	Eval_GAUC: 0.8142	Eval_AUC: 0.8138
Epoch 3 Global_step 55000	Train_loss: 0.5665	Eval_GAUC: 0.8142	Eval_AUC: 0.8138
Epoch 3 Global_step 56000	Train_loss: 0.5639	Eval_GAUC: 0.8141	Eval_AUC: 0.8139
Epoch 3 Global_step 57000	Train_loss: 0.5646	Eval_GAUC: 0.8138	Eval_AUC: 0.8138
Epoch 3 Global_step 58000	Train_loss: 0.5633	Eval_GAUC: 0.8139	Eval_AUC: 0.8138
Epoch 3 Global_step 59000	Train_loss: 0.5630	Eval_GAUC: 0.8143	Eval_AUC: 0.8139
Epoch 3 Global_step 60000	Train_loss: 0.5625	Eval_GAUC: 0.8143	Eval_AUC: 0.8140
