2019-09-11 14:24:44.985698: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-09-11 14:24:45.312733: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: Tesla K80 major: 3 minor: 7 memoryClockRate(GHz): 0.8235
pciBusID: 0000:0d:00.0
totalMemory: 11.17GiB freeMemory: 11.10GiB
2019-09-11 14:24:45.572049: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 1 with properties: 
name: Tesla K80 major: 3 minor: 7 memoryClockRate(GHz): 0.8235
pciBusID: 0000:0e:00.0
totalMemory: 11.17GiB freeMemory: 11.10GiB
2019-09-11 14:24:45.572373: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Device peer to peer matrix
2019-09-11 14:24:45.572405: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1051] DMA: 0 1 
2019-09-11 14:24:45.572414: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 0:   Y Y 
2019-09-11 14:24:45.572420: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 1:   Y Y 
2019-09-11 14:24:45.572436: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: Tesla K80, pci bus id: 0000:0d:00.0, compute capability: 3.7)
2019-09-11 14:24:45.572443: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:1) -> (device: 1, name: Tesla K80, pci bus id: 0000:0e:00.0, compute capability: 3.7)
User_count: 192403 Item_count: 63001 Cate_count: 801
len_cate_list:  63001
test_set_0_5:  [(114981, [24265, 8283, 43319, 45475], (56743, 31087)), (50580, [42354, 19191, 13067, 33134, 33800, 58952], (43604, 12255)), (172652, [28839, 32507, 34101, 34339], (49205, 2002)), (98577, [299, 5127, 6140, 14805, 15916, 20120], (17961, 29586)), (147658, [4932, 3674, 10339, 19888], (20257, 45347))]
[None, 128]
[None, 128]
[None, 128]
[None, 128]
[None, 100, 128]
[None, 2]
test_gauc: 0.5118	 test_auc: 0.5118
Epoch 0 Global_step 1000	Train_loss: 0.6974	Eval_GAUC: 0.7581	Eval_AUC: 0.7559
Epoch 0 Global_step 2000	Train_loss: 0.6890	Eval_GAUC: 0.7667	Eval_AUC: 0.7658
Epoch 0 Global_step 3000	Train_loss: 0.6851	Eval_GAUC: 0.7760	Eval_AUC: 0.7750
Epoch 0 Global_step 4000	Train_loss: 0.6819	Eval_GAUC: 0.7875	Eval_AUC: 0.7877
Epoch 0 Global_step 5000	Train_loss: 0.6789	Eval_GAUC: 0.7891	Eval_AUC: 0.7892
Epoch 0 Global_step 6000	Train_loss: 0.6760	Eval_GAUC: 0.7910	Eval_AUC: 0.7912
Epoch 0 Global_step 7000	Train_loss: 0.6736	Eval_GAUC: 0.7901	Eval_AUC: 0.7905
Epoch 0 Global_step 8000	Train_loss: 0.6716	Eval_GAUC: 0.7998	Eval_AUC: 0.7997
Epoch 0 Global_step 9000	Train_loss: 0.6689	Eval_GAUC: 0.7998	Eval_AUC: 0.7998
Epoch 0 Global_step 10000	Train_loss: 0.6663	Eval_GAUC: 0.8161	Eval_AUC: 0.8165
Epoch 0 Global_step 11000	Train_loss: 0.6648	Eval_GAUC: 0.8170	Eval_AUC: 0.8174
Epoch 0 Global_step 12000	Train_loss: 0.6619	Eval_GAUC: 0.8205	Eval_AUC: 0.8213
Epoch 0 Global_step 13000	Train_loss: 0.6607	Eval_GAUC: 0.8298	Eval_AUC: 0.8304
Epoch 0 Global_step 14000	Train_loss: 0.6584	Eval_GAUC: 0.8276	Eval_AUC: 0.8281
Epoch 0 Global_step 15000	Train_loss: 0.6573	Eval_GAUC: 0.8293	Eval_AUC: 0.8299
Epoch 0 Global_step 16000	Train_loss: 0.6548	Eval_GAUC: 0.8104	Eval_AUC: 0.8106
Epoch 0 Global_step 17000	Train_loss: 0.6516	Eval_GAUC: 0.7557	Eval_AUC: 0.7553
Epoch 0 Global_step 18000	Train_loss: 0.6471	Eval_GAUC: 0.7095	Eval_AUC: 0.7097
Epoch 0 Global_step 19000	Train_loss: 0.6453	Eval_GAUC: 0.6940	Eval_AUC: 0.6943
Epoch 0 Global_step 20000	Train_loss: 0.6411	Eval_GAUC: 0.6935	Eval_AUC: 0.6934
Epoch 0 Global_step 21000	Train_loss: 0.6411	Eval_GAUC: 0.7004	Eval_AUC: 0.7007
