2019-09-17 16:18:14.174903: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-09-17 16:18:14.438357: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: Tesla K80 major: 3 minor: 7 memoryClockRate(GHz): 0.8235
pciBusID: 0000:0e:00.0
totalMemory: 11.17GiB freeMemory: 11.10GiB
2019-09-17 16:18:14.438409: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: Tesla K80, pci bus id: 0000:0e:00.0, compute capability: 3.7)
User_count: 409000 Item_count: 46426 Cate_count: 6
len_cate_list:  46426
test_set_0_5:  [(117682, [35427, 2506, 19335, 18467, 19310, 17458], (18532, 1137)), (9751, [19419, 29828, 10976, 10412, 10380, 40538, 39435, 39437, 37415, 36742, 11506], (45105, 38769)), (326074, [14887, 39036], (39185, 7303)), (94909, [19221], (45874, 24548)), (328570, [28529], (29224, 22711))]
****user_emb_w--shape**** <bound method TensorShape.as_list of TensorShape([Dimension(409000), Dimension(128)])>
****user_emb_w--shape**** (409000, 128)
****ic--shape***** <bound method TensorShape.as_list of TensorShape([Dimension(None)])>
****ic--shape***** (?,)
****i_emb--shape**** <bound method TensorShape.as_list of TensorShape([Dimension(None), Dimension(128)])>
****i_emb--shape**** (?, 128)
****ib--shape***** (?,)
****jc--shape**** (?,)
***j_emb--shape**** (?, 128)
****j_b--shape**** (?,)
****hc--shape**** (?, ?)
****h_emb--shape**** (?, ?, 128)
****hist_i--shape**** (?, 1, 128)
****u_emb_i--shape**** (?, 128)
[None, 128]
[None, 128]
[None, 128]
[None, 128]
[None, 100, 128]
[None, 2]
test_gauc: 0.5079	 test_auc: 0.5061
Epoch 0 Global_step 1000	Train_loss: 0.6963	Eval_GAUC: 0.8013	Eval_AUC: 0.8007
Epoch 0 Global_step 2000	Train_loss: 0.6880	Eval_GAUC: 0.8049	Eval_AUC: 0.8050
Epoch 0 Global_step 3000	Train_loss: 0.6838	Eval_GAUC: 0.8077	Eval_AUC: 0.8070
Epoch 0 Global_step 4000	Train_loss: 0.6806	Eval_GAUC: 0.8112	Eval_AUC: 0.8107
Epoch 0 Global_step 5000	Train_loss: 0.6771	Eval_GAUC: 0.8231	Eval_AUC: 0.8226
Epoch 0 Global_step 6000	Train_loss: 0.6736	Eval_GAUC: 0.8186	Eval_AUC: 0.8184
Epoch 0 Global_step 7000	Train_loss: 0.6710	Eval_GAUC: 0.8197	Eval_AUC: 0.8192
Epoch 0 Global_step 8000	Train_loss: 0.6681	Eval_GAUC: 0.8168	Eval_AUC: 0.8165
Epoch 0 Global_step 9000	Train_loss: 0.6655	Eval_GAUC: 0.8255	Eval_AUC: 0.8249
Epoch 0 Global_step 10000	Train_loss: 0.6631	Eval_GAUC: 0.8213	Eval_AUC: 0.8204
Epoch 0 Global_step 11000	Train_loss: 0.6607	Eval_GAUC: 0.8218	Eval_AUC: 0.8212
Epoch 0 Global_step 12000	Train_loss: 0.6585	Eval_GAUC: 0.8253	Eval_AUC: 0.8248
Epoch 0 Global_step 13000	Train_loss: 0.6559	Eval_GAUC: 0.8241	Eval_AUC: 0.8240
Epoch 0 Global_step 14000	Train_loss: 0.6544	Eval_GAUC: 0.8241	Eval_AUC: 0.8238
Epoch 0 Global_step 15000	Train_loss: 0.6516	Eval_GAUC: 0.8214	Eval_AUC: 0.8210
Epoch 0 DONE	Cost time: 3623.57
Epoch 1 Global_step 16000	Train_loss: 0.0798	Eval_GAUC: 0.8238	Eval_AUC: 0.8234
Epoch 1 Global_step 17000	Train_loss: 0.6472	Eval_GAUC: 0.8209	Eval_AUC: 0.8209
Epoch 1 Global_step 18000	Train_loss: 0.6454	Eval_GAUC: 0.8200	Eval_AUC: 0.8201
Epoch 1 Global_step 19000	Train_loss: 0.6430	Eval_GAUC: 0.8177	Eval_AUC: 0.8176
Epoch 1 Global_step 20000	Train_loss: 0.6416	Eval_GAUC: 0.8190	Eval_AUC: 0.8193
Epoch 1 Global_step 21000	Train_loss: 0.6408	Eval_GAUC: 0.8194	Eval_AUC: 0.8192
Epoch 1 Global_step 22000	Train_loss: 0.6382	Eval_GAUC: 0.8190	Eval_AUC: 0.8192
Epoch 1 Global_step 23000	Train_loss: 0.6360	Eval_GAUC: 0.8205	Eval_AUC: 0.8205
Epoch 1 Global_step 24000	Train_loss: 0.6359	Eval_GAUC: 0.8195	Eval_AUC: 0.8193
Epoch 1 Global_step 25000	Train_loss: 0.6341	Eval_GAUC: 0.8181	Eval_AUC: 0.8181
Epoch 1 Global_step 26000	Train_loss: 0.6326	Eval_GAUC: 0.8187	Eval_AUC: 0.8183
