2019-09-16 14:41:03.880322: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-09-16 14:41:04.176501: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: Tesla K80 major: 3 minor: 7 memoryClockRate(GHz): 0.8235
pciBusID: 0000:83:00.0
totalMemory: 11.17GiB freeMemory: 11.10GiB
2019-09-16 14:41:04.428195: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 1 with properties: 
name: Tesla K80 major: 3 minor: 7 memoryClockRate(GHz): 0.8235
pciBusID: 0000:0e:00.0
totalMemory: 11.17GiB freeMemory: 11.04GiB
2019-09-16 14:41:04.428298: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Device peer to peer matrix
2019-09-16 14:41:04.428328: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1051] DMA: 0 1 
2019-09-16 14:41:04.428338: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 0:   Y N 
2019-09-16 14:41:04.428344: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 1:   N Y 
2019-09-16 14:41:04.428362: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: Tesla K80, pci bus id: 0000:83:00.0, compute capability: 3.7)
2019-09-16 14:41:04.428372: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:1) -> (device: 1, name: Tesla K80, pci bus id: 0000:0e:00.0, compute capability: 3.7)
User_count: 409000 Item_count: 46426 Cate_count: 6
len_cate_list:  46426
test_set_0_5:  [(117682, [35427, 2506, 19335, 18467, 19310, 17458], (18532, 1137)), (9751, [19419, 29828, 10976, 10412, 10380, 40538, 39435, 39437, 37415, 36742, 11506], (45105, 38769)), (326074, [14887, 39036], (39185, 7303)), (94909, [19221], (45874, 24548)), (328570, [28529], (29224, 22711))]
****user_emb_w--shape**** <bound method TensorShape.as_list of TensorShape([Dimension(409000), Dimension(128)])>
****user_emb_w--shape**** (409000, 128)
****ic--shape***** <bound method TensorShape.as_list of TensorShape([Dimension(None)])>
****ic--shape***** (?,)
****i_emb--shape**** <bound method TensorShape.as_list of TensorShape([Dimension(None), Dimension(128)])>
****i_emb--shape**** (?, 128)
****ib--shape***** (?,)
****jc--shape**** (?,)
***j_emb--shape**** (?, 128)
****j_b--shape**** (?,)
****hc--shape**** (?, ?)
****h_emb--shape**** (?, ?, 128)
****hist_i--shape**** (?, 1, 128)
****u_emb_i--shape**** (?, 128)
[None, 128]
[None, 128]
[None, 128]
[None, 128]
[None, 100, 128]
[None, 2]
test_gauc: 0.5079	 test_auc: 0.5061
Epoch 0 Global_step 1000	Train_loss: 0.6952	Eval_GAUC: 0.8041	Eval_AUC: 0.8042
Epoch 0 Global_step 2000	Train_loss: 0.6830	Eval_GAUC: 0.7966	Eval_AUC: 0.7969
Epoch 0 Global_step 3000	Train_loss: 0.6758	Eval_GAUC: 0.7984	Eval_AUC: 0.7983
Epoch 0 Global_step 4000	Train_loss: 0.6702	Eval_GAUC: 0.7951	Eval_AUC: 0.7951
Epoch 0 Global_step 5000	Train_loss: 0.6647	Eval_GAUC: 0.7938	Eval_AUC: 0.7941
Epoch 0 Global_step 6000	Train_loss: 0.6597	Eval_GAUC: 0.7978	Eval_AUC: 0.7976
Epoch 0 Global_step 7000	Train_loss: 0.6563	Eval_GAUC: 0.8047	Eval_AUC: 0.8046
Epoch 0 Global_step 8000	Train_loss: 0.6521	Eval_GAUC: 0.8015	Eval_AUC: 0.8013
Epoch 0 Global_step 9000	Train_loss: 0.6485	Eval_GAUC: 0.8033	Eval_AUC: 0.8029
Epoch 0 Global_step 10000	Train_loss: 0.6445	Eval_GAUC: 0.8059	Eval_AUC: 0.8053
Epoch 0 Global_step 11000	Train_loss: 0.6400	Eval_GAUC: 0.8063	Eval_AUC: 0.8058
Epoch 0 Global_step 12000	Train_loss: 0.6372	Eval_GAUC: 0.8060	Eval_AUC: 0.8059
Epoch 0 Global_step 13000	Train_loss: 0.6347	Eval_GAUC: 0.8058	Eval_AUC: 0.8056
Epoch 0 Global_step 14000	Train_loss: 0.6318	Eval_GAUC: 0.8074	Eval_AUC: 0.8071
Epoch 0 Global_step 15000	Train_loss: 0.6293	Eval_GAUC: 0.8078	Eval_AUC: 0.8075
Epoch 0 Global_step 16000	Train_loss: 0.6262	Eval_GAUC: 0.8087	Eval_AUC: 0.8082
Epoch 0 Global_step 17000	Train_loss: 0.6236	Eval_GAUC: 0.8099	Eval_AUC: 0.8089
Epoch 0 Global_step 18000	Train_loss: 0.6216	Eval_GAUC: 0.8110	Eval_AUC: 0.8100
Epoch 0 Global_step 19000	Train_loss: 0.6192	Eval_GAUC: 0.8108	Eval_AUC: 0.8100
Epoch 0 Global_step 20000	Train_loss: 0.6170	Eval_GAUC: 0.8112	Eval_AUC: 0.8105
Epoch 0 Global_step 21000	Train_loss: 0.6155	Eval_GAUC: 0.8115	Eval_AUC: 0.8108
Epoch 0 Global_step 22000	Train_loss: 0.6124	Eval_GAUC: 0.8116	Eval_AUC: 0.8113
Epoch 0 Global_step 23000	Train_loss: 0.6113	Eval_GAUC: 0.8111	Eval_AUC: 0.8112
Epoch 0 Global_step 24000	Train_loss: 0.6095	Eval_GAUC: 0.8122	Eval_AUC: 0.8121
Epoch 0 Global_step 25000	Train_loss: 0.6063	Eval_GAUC: 0.8124	Eval_AUC: 0.8121
Epoch 0 Global_step 26000	Train_loss: 0.6054	Eval_GAUC: 0.8126	Eval_AUC: 0.8123
Epoch 0 Global_step 27000	Train_loss: 0.6052	Eval_GAUC: 0.8127	Eval_AUC: 0.8123
